runID,water_depth_min,water_depth_max,wedge_slope,source_depth,SSP_source,source_in_duct,duct_type,surface_duct,surface_duct_depth,surface_duct_SSP,bottom_duct,bottom_duct_depth,bottom_duct_width,bottom_duct_SSP,waveguide,CHmax_axis,SSP_CHmax,deep_CH_axis,deep_CH_SSP,shallow_CH_axis,shallow_CH_SSP,profile,bottom_type,num_rays,criterion,residual,runtime
1,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,20000,1,0,85.2448
2,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,500,0,27.0505,2.6784
3,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,1000,0,22.7048,4.612
4,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,1500,0,19.0755,6.5059
5,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,2000,0,17.995,8.8365
6,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,2500,0,16.5907,11.1142
7,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,3000,0,15.2505,12.4442
8,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,3500,0,14.4024,13.8667
9,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,4000,0,13.3896,15.0803
10,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,4500,0,12.489,16.3251
11,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,5000,0,11.732,20.5049
12,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,6000,0,10.8768,28.1985
13,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,7000,0,9.1255,32.3699
14,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,8000,0,8.263,33.0069
15,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,9000,0,7.8788,36.4204
16,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,10000,0,6.3277,35.5627
17,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,12500,0,5.2289,42.6317
18,50,1500,-2,15,1497.9264,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,15000,0,3.2083,55.0736
19,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,20000,1,0,71.2144
20,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,500,0,25.0197,2.6169
21,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,1000,0,20.356,3.6487
22,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,1500,0,18.6326,5.4853
23,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,2000,0,16.9819,7.2619
24,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,2500,0,14.2774,8.6901
25,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,3000,0,14.0196,10.4233
26,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,3500,0,12.6575,11.8463
27,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,4000,0,12.6801,13.9209
28,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,4500,0,11.1874,16.2713
29,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,5000,0,9.7749,17.8823
30,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,6000,0,9.6211,21.1424
31,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,7000,0,8.8091,24.676
32,50,1500,-2,30,1497.2763,0,NaN,0,NaN,NaN,0,NaN,NaN,NaN,2,249.2492,1478.2504,900.9009,1481.0375,NaN,NaN,South Pacific Ocean Winter,1,8000,0,6.7302,28.3488
