runID,water_depth_min,water_depth_max,wedge_slope,source_depth,SSP_source,source_in_duct,duct_type,surface_duct,surface_duct_depth,surface_duct_SSP,bottom_duct,bottom_duct_depth,bottom_duct_width,bottom_duct_SSP,waveguide,CHmax_axis,SSP_CHmax,deep_CH_axis,deep_CH_SSP,shallow_CH_axis,shallow_CH_SSP,profile,bottom_type,num_rays,criterion,residual,runtime
1,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,20000,1,0,85.7602
2,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,500,0,21.211,2.7549
3,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,1000,0,19.0407,5.1677
4,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,1500,0,17.2823,7.3505
5,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,2000,0,16.6087,9.3335
6,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,2500,0,15.2602,12.0145
7,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,3000,0,14.4837,13.4003
8,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,3500,0,13.7031,14.7721
9,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,4000,0,12.7142,17.1264
10,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,4500,0,11.8458,19.8925
11,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,5000,0,11.068,22.508
12,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,6000,0,9.6619,25.7775
13,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,7000,0,9.1547,29.524
14,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,8000,0,8.3627,33.5974
15,50,1500,-2,15,1523.4828,0,NaN,1,10.5105,1523.5176,0,NaN,NaN,NaN,1,900.9009,1491.6548,NaN,NaN,NaN,NaN,North Pacific Ocean Winter,1,9000,0,6.4513,37.8167
