,water_depth_min,water_depth_max,wedge_slope,source_depth,bottom_type,len_slope,SLD_depth,SLD_avgrad,DC_axis,DC_top,DC_bot,DC_avgrad_top,DC_avgrad_bot,SSP_wmin,SSP_wmax,SSP_src,SSP_dcax,SSP_dcb,SSP_dct,SSP_sld,Autumn,Spring,Summer,Winter,Labrador-Sea,Mediterranean-Sea,North-Pacific-Ocean,Norwegian-Sea,South-Atlantic-Ocean,South-Pacific-Ocean
0,50,50,0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1513.369141,1513.369141,1516.212227,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
1,50,1500,2,70,2,41523.0,0.0,0.0,70.0,10.0,250.0,-0.01781952999999703,0.01246323066666749,1466.094492,1482.272617,1465.026367,1465.026367,1467.779727,1466.729375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2,350,1500,-2,200,1,32932.0,0.0,0.0,70.0,10.0,250.0,-0.01781952999999703,0.01246323066666749,1470.058555,1482.272617,1466.341289,1465.026367,1467.779727,1466.729375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
3,50,50,0,30,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524.978359,1524.978359,1531.663086,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4,350,1500,2,150,2,32932.0,0.0,0.0,150.0,0.0,1200.0,-0.06783950399999927,0.01287235809523801,1514.809551,1531.869609,1513.334883,1513.334883,1526.850859,1526.793047,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5,250,250,0,30,2,0.0,0.0,0.0,70.0,10.0,250.0,-0.01781952999999703,0.01246323066666749,1467.779727,1467.779727,1466.675742,1465.026367,1467.779727,1466.729375,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
6,1200,1500,2,30,2,8591.0,0.0,0.0,125.0,20.0,500.0,-0.05824202733333382,0.01886406000000079,1478.344961,1482.290938,1472.106406,1465.369141,1472.388281,1472.135078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
7,450,1500,2,300,2,30068.0,1500.0,0.01201489789473698,0.0,0.0,0.0,0.0,0.0,1516.013379,1531.729727,1514.516523,0.0,0.0,0.0,1531.729727,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
8,600,600,0,30,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1475.222422,1475.222422,1480.353516,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
9,350,1500,2,300,2,32932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.551367,1470.076484,1478.990703,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,1050,1500,2,200,2,12886.0,1500.0,0.01201489789473698,0.0,0.0,0.0,0.0,0.0,1524.3022465,1531.729727,1513.696211,0.0,0.0,0.0,1531.729727,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
11,350,1500,-2,150,2,32932.0,200.0,0.030869508888888,0.0,0.0,0.0,0.0,0.0,1476.107734,1483.719805,1478.550234,0.0,0.0,0.0,1479.334844,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
12,1200,1500,-2,300,1,8591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1478.538438,1482.384961,1471.801523,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
13,1050,1050,0,50,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1464.4809375,1464.4809375,1476.185977,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
14,900,1500,2,50,2,17182.0,0.0,0.0,70.0,50.0,100.0,-0.01411130000000185,0.01135286666666768,1475.450859,1482.35875,1463.768867,1463.486641,1463.827227,1463.768867,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
